Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1023,-4172;-11844;-1272,11121;-2715;3880,-0.1150428;-0.1225562;0.9032229,-0.166105;-0.09389526;0.9884794,-0.2137724;0.01723374;1.222483,-0.155676;0.2017116;1.214858,-0.005492744;0.2205544;1.237155,0.0154053;-0.1626661;1.387769,0
31,1023,-4176;-9552;-2032,32767;-7806;6785,-0.1168238;-0.1238681;0.9063609,-0.1659472;-0.09453389;0.9887676,-0.2139407;0.01717997;1.222426,-0.1555841;0.2017051;1.214859,-0.003289412;0.2208882;1.236698,0.0155485;-0.1625025;1.388011,0
63,1023,-4732;-3788;-2460,32767;-1060;13367,-0.1172314;-0.1248917;0.9073938,-0.1656827;-0.09535253;0.989297,-0.2141711;0.01709314;1.222501,-0.1554888;0.2016866;1.214906,-0.003440141;0.2208063;1.236795,0.0155617;-0.1625014;1.388069,0
182,1023,-8144;-10268;8340,-2017;169;-1745,-0.1175075;-0.1231295;0.9050071,-0.1661408;-0.09645469;0.9907308,-0.2142962;0.0173557;1.22334,-0.154982;0.2016643;1.214967,-0.003576068;0.2206528;1.236966,0.01566527;-0.1624567;1.388294,0
197,1023,-8644;-10100;9508,-1167;11;-1914,-0.1189515;-0.1221456;0.9042056,-0.1665019;-0.09624122;0.9906733,-0.2142726;0.0174065;1.223441,-0.154785;0.2016573;1.215024,-0.003580887;0.2206409;1.236978,0.01585797;-0.1623133;1.388535,0
232,1023,-7952;-9820;8896,-1785;-563;-1652,-0.1198528;-0.1215987;0.8985162,-0.1690081;-0.09325961;0.9881999,-0.2142535;0.01728348;1.22296,-0.1543331;0.2014737;1.214559,-0.003591201;0.2205123;1.236772,0.01588495;-0.1621866;1.388602,0
266,1023,-7724;-11216;8496,-1605;-542;-1363,-0.1216081;-0.1217273;0.9008093,-0.169662;-0.0931819;0.988139,-0.2143027;0.01709057;1.223142,-0.1540938;0.2013012;1.214991,-0.003552279;0.2205267;1.237235,0.01617965;-0.1619344;1.389659,0
296,1023,-8088;-11436;8436,1152;-545;-716,-0.1251648;-0.1214152;0.8959561,-0.1738917;-0.08947937;0.9922065,-0.2138484;0.01718565;1.223496,-0.153836;0.2011667;1.21491,-0.003537218;0.2205284;1.237233,0.01605082;-0.1616487;1.390146,0
329,1023,-8304;-10692;8296,1624;-570;-663,-0.1293873;-0.1207922;0.8935845,-0.1782756;-0.085558;1.000059,-0.2135566;0.01734696;1.223664,-0.1534975;0.2010399;1.214827,-0.003400286;0.2204549;1.237206,0.01609819;-0.161658;1.390179,0
365,1023,-8404;-10684;8340,2484;-586;-714,-0.1324176;-0.1215482;0.890597,-0.179418;-0.0839541;1.002554,-0.2129674;0.0175682;1.22448,-0.1532148;0.2009142;1.214834,-0.003278809;0.2203922;1.237194,0.01612716;-0.1616523;1.390342,0
397,1023,-8468;-10292;8972,2304;-631;-968,-0.1362128;-0.1222739;0.8900975,-0.1805781;-0.08286168;1.004726,-0.2124415;0.01751894;1.225294,-0.1528567;0.2007623;1.214841,-0.003070588;0.2203148;1.237176,0.01611944;-0.1616577;1.390446,0
432,1023,-8048;-10080;8832,1464;-534;-1239,-0.1387918;-0.1222238;0.8867916,-0.1804372;-0.08264221;1.004754,-0.2120626;0.01734267;1.225401,-0.1522943;0.2004863;1.214505,-0.002738819;0.2200351;1.236789,0.01566894;-0.1621262;1.389879,0
466,1023,-7984;-10544;9048,173;-501;-1418,-0.1418912;-0.1244017;0.8889559,-0.1809977;-0.0816436;1.008575,-0.2117707;0.0171774;1.226164,-0.1519679;0.2004112;1.214961,-0.002587833;0.2199735;1.237021,0.01545103;-0.1620534;1.390625,0
499,1023,-7868;-10888;8500,267;-562;-1314,-0.1453719;-0.1228491;0.8868639,-0.1804124;-0.08155876;1.009628,-0.211517;0.01690698;1.226479,-0.1516647;0.2002902;1.215037,-0.002493666;0.2199183;1.236984,0.0153652;-0.1620135;1.390854,0
530,1023,-7836;-10780;8384,1077;-632;-1133,-0.147869;-0.1245501;0.8840833,-0.1800599;-0.08157774;1.010258,-0.2112987;0.01666625;1.22631,-0.1512932;0.2001081;1.214938,-0.002361013;0.2198032;1.236909,0.01514483;-0.162176;1.390789,0
565,1023,-7964;-10948;8632,1440;-546;-891,-0.1503432;-0.1238071;0.8842479,-0.1795821;-0.08198895;1.011394,-0.2110976;0.01631144;1.226235,-0.1509805;0.1999699;1.214937,-0.002211848;0.219714;1.236868,0.01478485;-0.1621692;1.391055,0
598,1023,-7996;-10668;8692,1272;-520;-874,-0.1546448;-0.1215922;0.8839483,-0.1726046;-0.09673302;0.9573212,-0.1938458;-0.05238251;1.148004,-0.1507017;0.1999385;1.214936,-0.0002105853;0.2199962;1.236381,0.01451069;-0.1621334;1.391234,0
632,1023,-7992;-10584;8636,1370;-603;-837,-0.1582547;-0.1229521;0.8852542,-0.17936;-0.08401663;1.021122,-0.2100482;0.01343204;1.230353,-0.1503038;0.1999631;1.215507,-0.000182258;0.2199594;1.237222,0.01407517;-0.1619231;1.392542,0
667,1023,-8028;-10488;8580,1448;-626;-868,-0.1603946;-0.120327;0.885287,-0.1711436;-0.09958827;0.9828292,-0.2072289;-0.03679996;1.16589,-0.1498919;0.1998289;1.215361,-0.0001210494;0.2198593;1.237176,0.01342726;-0.1626938;1.391747,0
698,1023,-8128;-10372;8696,1403;-561;-839,-0.1639085;-0.1200217;0.887018,-0.1712983;-0.1044846;0.9845573,-0.2072586;-0.03687199;1.165893,-0.1496989;0.1997932;1.21546,-7.121215E-05;0.2198094;1.237245,0.0131601;-0.1627806;1.391876,0
729,1023,-7936;-10860;8868,1404;-589;-936,-0.1671409;-0.1217094;0.901346,-0.1717038;-0.1088578;0.9866945,-0.207355;-0.03685812;1.16637,-0.1493997;0.1997649;1.21591,-4.836403E-05;0.2197784;1.237456,0.01235518;-0.163207;1.39211,0
765,1023,-7840;-10480;8788,1439;-787;-933,-0.1687524;-0.1222418;0.904457,-0.1730922;-0.1090274;0.9867923,-0.2071926;-0.03677563;1.166666,-0.1492181;0.1997359;1.21585,-3.673915E-05;0.2197107;1.23745,0.01195467;-0.1636334;1.391712,0
796,1023,-8140;-11104;8720,1973;-879;-1146,-0.1698569;-0.1242303;0.9083353,-0.1739529;-0.1100772;0.9872226,-0.2069868;-0.0366362;1.166807,-0.1489352;0.1995946;1.215692,-1.799494E-05;0.2196656;1.237442,0.01191745;-0.1635495;1.391891,0
830,1023,-8196;-10568;8820,2321;-943;-1408,-0.1721414;-0.1234151;0.9111534,-0.1725277;-0.1199187;0.9764993,-0.2067499;-0.03647053;1.166969,-0.1486707;0.1994923;1.215556,-1.809087E-06;0.2195759;1.237395,0.01126947;-0.1640468;1.391388,0
867,1023,-8232;-10116;8956,2971;-906;-1416,-0.1736874;-0.1271012;0.9131485,-0.1737999;-0.1193122;0.979407,-0.2061092;-0.03655801;1.167797,-0.1484461;0.1994053;1.215441,1.93168E-05;0.2195129;1.237395,0.01074867;-0.1642466;1.391182,0
899,1023,-7768;-9688;9364,1997;-1203;-1625,-0.1753614;-0.1296673;0.9156182,-0.1739793;-0.1205763;0.9772946,-0.2056592;-0.03651923;1.168232,-0.1481975;0.1992717;1.215237,7.35114E-05;0.2193877;1.237268,0.01023569;-0.1646451;1.390533,0
931,1023,-7648;-9652;9212,882;-1168;-1593,-0.17829;-0.1307197;0.9130087,-0.1758639;-0.1147187;0.9904447,-0.2049728;-0.0365455;1.168673,-0.1479979;0.1991602;1.215149,0.001321193;0.2195432;1.236574,0.009791142;-0.165145;1.389946,0
967,1023,-8356;-10820;9492,400;-397;-1259,-0.1817658;-0.1329668;0.9125189,-0.1785243;-0.1173302;0.9871134,-0.2048804;-0.0365084;1.168726,-0.1479089;0.1991082;1.215184,0.001295679;0.2194661;1.236703,0.009397157;-0.1648973;1.390558,0
999,1023,-7548;-10476;8748,1930;-1026;-1299,-0.1819289;-0.1339082;0.9103822,-0.1706422;-0.1102105;0.9892856,-0.2043927;-0.03642605;1.168593,-0.1476132;0.1988603;1.214566,0.001244799;0.2191436;1.236352,0.008363565;-0.1657115;1.388869,0
1030,1023,-6752;-10144;8844,1564;-1369;-1482,-0.1861754;-0.1372974;0.9107681,-0.1772753;-0.1384886;0.9502752,-0.204007;-0.03644984;1.169379,-0.1474866;0.1987969;1.214814,0.001151268;0.2190949;1.236536,0.00790861;-0.1659791;1.388999,0
1067,1023,-7116;-10800;9476,884;-659;-813,-0.1873771;-0.1391365;0.9074098,-0.1769349;-0.1390108;0.9512326,-0.2034959;-0.03634387;1.169233,-0.147322;0.198612;1.214465,0.001044645;0.2189078;1.236298,0.00747549;-0.1661508;1.388684,0
1099,1023,-7420;-10508;9112,1075;-345;-747,-0.1893871;-0.1378133;0.9089752,-0.1776308;-0.1379732;0.9513127,-0.2031891;-0.03641285;1.169106,-0.1472617;0.1985815;1.214446,0.001042457;0.2188668;1.236301,0.007324257;-0.1662041;1.388674,0
1133,1023,-7256;-10660;9328,1095;98;-784,-0.1922529;-0.1378191;0.9104913,-0.1785979;-0.1368798;0.951724,-0.2029315;-0.03645609;1.169075,-0.1472369;0.1985527;1.214498,0.001028976;0.2188262;1.236394,0.007288822;-0.1662121;1.388743,0
