Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,305,2016;11404;-12480,2393;-2037;-2110,0.03054261;0.07328115;1.245178,0.2064348;0.02755703;1.265089,0.2593538;-0.1609081;1.293103,0.272123;-0.1420245;1.087081,0.2683075;-0.1312553;1.032894,0.01963242;-0.4365215;1.395308,0
31,305,2240;11412;-12024,856;-586;-1145,0.03054608;0.07328314;1.245174,0.2064321;0.02756533;1.265084,0.2595102;-0.2174725;1.300403,0.2716087;-0.1423175;1.092546,0.2673773;-0.1288776;1.03402,0.01966885;-0.4365044;1.395318,0
113,303,-1604;15676;-3500,916;-21;-748,0.03054909;0.07329135;1.245167,0.2064321;0.02757899;1.265076,0.2593642;-0.218253;1.30285,0.2714033;-0.1421582;1.09108,0.2675814;-0.1278121;1.032913,0.01959493;-0.4365185;1.39518,0
130,303,-1864;15576;-3332,1005;-31;-657,0.03055881;0.07329108;1.245173,0.206413;0.02759485;1.265056,0.2589131;-0.2183884;1.30643,0.2713743;-0.1421989;1.091074,0.268507;-0.1282741;1.034552,0.01967328;-0.4364821;1.395189,0
165,303,-1808;15452;-3656,797;-1279;-564,0.0305854;0.0733223;1.245281,0.2064097;0.02760409;1.265059,0.2591136;-0.2172424;1.301779,0.2715506;-0.1425474;1.091337,0.2679758;-0.1290805;1.033785,0.01965115;-0.4364531;1.395232,0
196,303,-1244;14968;-3828,1179;-347;-711,0.03061089;0.07325608;1.245001,0.2064054;0.02759979;1.265026,0.2586823;-0.2174801;1.304129,0.2716288;-0.1425076;1.091407,0.2665754;-0.1289238;1.032099,0.01945225;-0.4365091;1.394803,0
230,303,-1704;15528;-3900,1036;-475;-970,0.03062313;0.07325872;1.245012,0.2064146;0.02759816;1.265038,0.2587235;-0.2178801;1.305334,0.2717687;-0.1422851;1.092241,0.2673737;-0.1290685;1.033449,0.01949457;-0.4364743;1.394824,0
264,303,-1364;15308;-3964,1215;-455;-955,0.03068336;0.0732945;1.245145,0.20641;0.02760413;1.265041,0.2587815;-0.2179234;1.305043,0.2718927;-0.1429594;1.092845,0.2676489;-0.1290391;1.03526,0.01966373;-0.4364329;1.394944,0
300,303,-1704;15656;-4028,1575;166;-1021,0.03074048;0.07340223;1.245507,0.2064948;0.027643;1.265202,0.2588636;-0.2179241;1.3049,0.2719685;-0.1431988;1.092913,0.2686862;-0.1290454;1.038668,0.01983173;-0.4364191;1.395147,0
331,303,-1716;15572;-3744,1266;16;-1056,0.03073565;0.07341702;1.245531,0.2064988;0.02764588;1.265209,0.2589735;-0.2187152;1.306363,0.271717;-0.1433831;1.092351,0.2688889;-0.128083;1.036175,0.01980125;-0.4364037;1.395174,0
