Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1023,-6864;-13648;-6856,438;-643;-1506,-0.05519838;-0.2781499;1.104668,-0.08944084;-0.2738311;1.126387,-0.1958654;-0.248311;1.372941,-0.08590478;-0.03857381;1.39863,0.08628941;0.004486337;1.382301,0.1011133;-0.505603;1.424953,0
32,1023,-6616;-13616;-6788,819;-273;-1578,-0.05502449;-0.2779333;1.103546,-0.08951157;-0.2734256;1.127707,-0.1956831;-0.2479676;1.374398,-0.08584362;-0.03850973;1.398623,0.08650637;0.004583998;1.382575,0.1011155;-0.5055984;1.424959,0
65,1020,-6696;-13452;-6796,826;-483;-1254,-0.05465538;-0.2774721;1.1039,-0.08978594;-0.2729894;1.131098,-0.1956011;-0.2471772;1.377922,-0.08578289;-0.03845758;1.398615,0.08648369;0.004547402;1.382509,0.1011083;-0.5055673;1.424978,0
100,1019,-6700;-13548;-6828,745;-614;-1087,-0.05482906;-0.2771511;1.103503,-0.08949561;-0.2728543;1.131166,-0.1956724;-0.2471857;1.377868,-0.08568273;-0.03837367;1.398487,0.08664349;0.004640898;1.382635,0.1010947;-0.5055667;1.424905,0
133,1023,-6684;-13588;-7068,854;-469;-924,-0.05929434;-0.2765519;1.103966,-0.08920792;-0.2728393;1.130737,-0.1959739;-0.2470563;1.377193,-0.08566192;-0.03835291;1.398486,0.08663376;0.004613094;1.382636,0.1010924;-0.5055543;1.424937,0
167,1016,-6788;-13544;-6844,1213;-519;-934,-0.05931143;-0.2771794;1.105137,-0.08898743;-0.2727886;1.130664,-0.1958809;-0.246983;1.377081,-0.08556765;-0.03828723;1.398373,0.08687059;0.004701257;1.38287,0.1011224;-0.5055586;1.424936,0
200,1023,-6752;-13536;-6924,1323;-469;-1062,-0.05739279;-0.2769728;1.104164,-0.08871891;-0.2728399;1.130228,-0.1964531;-0.2472764;1.376324,-0.08544145;-0.03824274;1.398326,0.08686648;0.004658524;1.382825,0.1011444;-0.5055559;1.424918,0
234,1023,-6664;-13344;-6844,957;-521;-1014,-0.05668694;-0.2760651;1.100832,-0.08855569;-0.272558;1.1306,-0.196567;-0.2472291;1.376621,-0.08524124;-0.03801274;1.397802,0.08705395;0.00474632;1.382835,0.1011098;-0.5055119;1.424724,0
265,1018,-6712;-13604;-6916,853;-573;-1031,-0.05794998;-0.2777015;1.107662,-0.08819878;-0.2724504;1.130753,-0.1965025;-0.246951;1.376651,-0.08503114;-0.03783451;1.398274,0.08710238;0.004728565;1.383001,0.1010314;-0.5055298;1.425202,0
298,1023,-6712;-13344;-7056,1139;-501;-1006,-0.05449343;-0.2758284;1.102396,-0.08785916;-0.2721232;1.1308,-0.1965874;-0.2467794;1.37655,-0.08481015;-0.03764547;1.397764,0.08727471;0.004596925;1.382458,0.1010013;-0.5054925;1.425069,0
334,1021,-6748;-13616;-6960,1236;-484;-988,-0.05443497;-0.2745646;1.101246,-0.08869821;-0.2715352;1.132901,-0.1971972;-0.2458491;1.378738,-0.08449166;-0.03754386;1.397154,0.08741505;0.004515179;1.382027,0.101015;-0.5054545;1.424946,0
