Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,315,7380;12008;-6564,989;-2958;-5157,-0.1904497;-0.08861757;1.316976,-0.02180486;-0.1032287;1.349506,0.06467699;-0.3321636;1.303638,0.04409441;-0.3495548;1.074723,0.0004877245;-0.3410205;1.002305,-0.1724147;-0.5503708;1.389437,0
33,316,6804;11832;-6356,118;-3276;-5852,-0.1904339;-0.08866189;1.316951,-0.02180245;-0.1032385;1.349485,0.06461363;-0.3323081;1.30344,0.04393897;-0.3495047;1.074288,0.0001150549;-0.3415934;1.003386,-0.1723803;-0.5504488;1.389502,0
64,318,5828;12604;-6916,761;-4138;-6930,-0.190534;-0.0887818;1.317178,-0.02180954;-0.1032512;1.349494,0.06460196;-0.3323435;1.303513,0.04416979;-0.3499266;1.074863,0.001232511;-0.3432714;1.006199,-0.1724534;-0.5505748;1.38993,0
101,318,5592;13016;-7436,1084;-4460;-6954,-0.1905585;-0.08880654;1.317211,-0.02180435;-0.1032589;1.349515,0.06442817;-0.3322572;1.304484,0.0442462;-0.3500001;1.074827,0.002259455;-0.3423047;1.004075,-0.1724897;-0.5506352;1.390218,0
132,315,5200;13744;-7844,1219;-4407;-7245,-0.1905344;-0.08890075;1.316872,-0.02178336;-0.1032756;1.349391,0.06437013;-0.3321666;1.304386,0.04439737;-0.3499435;1.074787,0.004739965;-0.3412663;0.9988657,-0.1724759;-0.5506021;1.390003,0
163,316,5160;14020;-8000,588;-4222;-7208,-0.1905004;-0.08899917;1.316589,-0.02177867;-0.1033076;1.349278,0.0643666;-0.3321306;1.304389,0.04479863;-0.3497386;1.074816,0.007091254;-0.3412461;0.9988366,-0.1722968;-0.5505888;1.389825,0
200,316,4332;14988;-8092,231;-3687;-7541,-0.190501;-0.08901669;1.316582,-0.02177747;-0.1033192;1.349245,0.06422547;-0.3324002;1.303917,0.04552822;-0.3488752;1.073681,0.01180688;-0.3407533;0.9965575,-0.1723079;-0.5506184;1.389847,0
232,314,3856;15844;-8260,951;-3264;-6556,-0.190506;-0.08902764;1.31655,-0.02180022;-0.1033499;1.349205,0.06424128;-0.3323635;1.304071,0.0566989;-0.3502666;1.084174,0.01900275;-0.3407446;0.9961108,-0.1723875;-0.5506822;1.389892,0
264,314,3412;16036;-8664,2659;-3285;-5137,-0.1905265;-0.08903074;1.316532,-0.02181968;-0.1033796;1.349167,0.06389596;-0.3329044;1.303331,0.05793349;-0.3476393;1.085071,0.02961591;-0.3399637;0.9969336,-0.1726625;-0.5507059;1.390314,0
299,316,3248;16220;-8772,1756;-2908;-3713,-0.1905598;-0.08903129;1.316567,-0.02185197;-0.1034356;1.349143,0.06357057;-0.333519;1.303082,0.06113868;-0.3467691;1.08689,0.04086524;-0.3384839;0.9998671,-0.1730894;-0.550747;1.391022,0
332,319,2924;15684;-8968,1921;-2017;-2912,-0.1905711;-0.08903041;1.316573,-0.02187389;-0.1034605;1.349109,0.03719298;-0.3287199;1.347801,0.06383122;-0.3481929;1.091357,0.05363322;-0.3381963;1.002783,-0.1730266;-0.5507461;1.39161,0
363,315,2652;15532;-8884,1533;-1450;-2146,-0.1905882;-0.08906785;1.316511,-0.02188915;-0.1034721;1.349057,0.03700923;-0.3292219;1.347338,0.04964761;-0.4001598;1.105156,0.06310409;-0.3395224;1.009411,-0.1729627;-0.5506585;1.3918,0
399,314,2288;15156;-8628,1407;-1046;-1654,-0.1906383;-0.08912691;1.316634,-0.02190107;-0.1034821;1.349046,0.02738229;-0.3515857;1.299222,0.05297917;-0.3988025;1.103814,0.07331682;-0.3560129;1.030608,-0.1725413;-0.5504403;1.392677,0
433,317,2556;14268;-8328,1382;-845;-1250,-0.1908228;-0.08911929;1.317001,-0.02192495;-0.1035221;1.34913,0.02872685;-0.3505705;1.294065,0.09372456;-0.3557595;1.041636,0.08774683;-0.3592011;1.029977,-0.1728846;-0.550338;1.393645,0
465,316,2508;14388;-8492,2380;-923;-1116,-0.1908672;-0.08908751;1.31703,-0.02194206;-0.103541;1.349115,0.03831765;-0.3322318;1.342895,0.06887208;-0.3849391;1.124786,0.1026908;-0.3598449;1.022889,-0.1727266;-0.5502676;1.393953,0
499,313,2288;14804;-9012,2039;-718;-1248,-0.1908937;-0.08907731;1.316944,-0.02195079;-0.103569;1.349026,0.03229349;-0.3468966;1.278702,0.1018404;-0.3636446;1.070069,0.1192614;-0.3559683;1.015778,-0.1727121;-0.550229;1.393983,0
534,315,2376;15332;-8868,1273;-16;-1145,-0.1909113;-0.0890394;1.317098,-0.02196015;-0.1035945;1.349013,0.03288213;-0.3469554;1.279424,0.1083168;-0.3619152;1.062668,0.1352884;-0.3547647;1.016763,-0.1728054;-0.5501704;1.394342,0
565,312,2312;14852;-8328,958;216;-624,-0.1911781;-0.08896745;1.317764,-0.02197913;-0.103619;1.349135,0.03767076;-0.3474693;1.28728,0.1098832;-0.3630195;1.071956,0.1461159;-0.3543959;1.023146,-0.1730101;-0.5502675;1.395389,0
