Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,319,-7084;10992;8556,1720;-1136;-850,-0.07392208;0.01791991;1.203823,0.09050915;-0.01108897;1.189685,0.1397127;-0.2010698;1.153822,0.1092376;-0.2403585;0.9057716,0.06767404;-0.2458333;0.8151693,-0.07517902;-0.4530361;1.269056,0
36,319,-7264;10876;8556,1459;-630;-793,-0.0739291;0.0178604;1.203833,0.09047113;-0.0113835;1.189922,0.1399696;-0.2021554;1.153799,0.109335;-0.2407253;0.9056556,0.06734052;-0.2458171;0.8137575,-0.07499819;-0.4532908;1.269112,0
74,319,-7200;10720;8328,989;-849;-758,-0.07393042;0.01782541;1.203816,0.09035318;-0.01189102;1.190134,0.1400351;-0.2018418;1.154053,0.1092082;-0.2406299;0.9059678,0.06776011;-0.2455397;0.8143932,-0.07512317;-0.4532769;1.269125,0
107,319,-7152;10684;8648,992;-784;-799,-0.07394152;0.01780879;1.203821,0.09034041;-0.01204798;1.190212,0.1399347;-0.2017954;1.153917,0.1095992;-0.2407029;0.9057894,0.06719693;-0.2457626;0.8141916,-0.07497184;-0.4533895;1.269144,0
135,319,-7272;10744;8480,1137;-222;-1210,-0.07396895;0.01768633;1.203794,0.0902726;-0.0123448;1.190352,0.1405207;-0.2020172;1.153999,0.1092416;-0.2405521;0.9059301,0.0672416;-0.2458275;0.8140727,-0.07497106;-0.4533917;1.269153,0
174,319,-7376;10588;8660,1014;-376;-917,-0.07399093;0.01763227;1.203731,0.09022313;-0.01281981;1.190365,0.1409512;-0.2022574;1.153868,0.1092307;-0.2406654;0.905836,0.06751981;-0.2459841;0.8133782,-0.07497163;-0.4535389;1.269123,0
203,319,-7360;10556;8628,1462;-731;-585,-0.07399916;0.01753803;1.203676,0.09016205;-0.01311452;1.19045,0.1409514;-0.2022494;1.153841,0.1089148;-0.2405899;0.9058386,0.06721659;-0.2455768;0.8126929,-0.07499945;-0.45369;1.269217,0
233,320,-7184;10996;8484,1252;-431;-863,-0.07397636;0.01745758;1.203527,0.09014231;-0.01130601;1.188694,0.1412172;-0.2025307;1.153645,0.1088459;-0.2405692;0.9056392,0.06829305;-0.2459852;0.8136889,-0.07503017;-0.4535326;1.269001,0
268,320,-7264;10640;8584,1323;-654;-682,-0.07393758;0.01730397;1.203394,0.0901127;-0.011607;1.188884,0.1418768;-0.2027818;1.153647,0.1089042;-0.2405841;0.9056839,0.06869849;-0.2459743;0.8143991,-0.07489067;-0.4537308;1.268982,0
307,320,-7256;10872;8324,1442;-598;-886,-0.07392983;0.01722556;1.203695,0.09006792;-0.01213594;1.189442,0.1417013;-0.2028953;1.154006,0.1095152;-0.2414407;0.9060523,0.0696948;-0.2458786;0.8163069,-0.07507281;-0.4539341;1.269545,0
341,320,-7132;10756;8604,697;-520;-1033,-0.07391749;0.01717963;1.203643,0.09003629;-0.01242151;1.189561,0.1420237;-0.2029676;1.153979,0.1174969;-0.2432037;0.9222416,0.07149666;-0.2442132;0.8129797,-0.0750798;-0.453965;1.269528,0
370,320,-7216;10748;8560,1338;-498;-902,-0.07392129;0.01717036;1.20364,0.09003022;-0.01260633;1.189686,0.1423194;-0.2029129;1.154112,0.1203142;-0.2439927;0.9305125,0.07386066;-0.2434162;0.8152438,-0.07520582;-0.4539351;1.269607,0
399,319,-7244;10972;8500,1098;-597;-870,-0.07396057;0.01710675;1.203591,0.09001911;-0.01278634;1.189766,0.1423406;-0.202934;1.154065,0.1204821;-0.2440172;0.933627,0.07708858;-0.2424919;0.8156506,-0.07525943;-0.4541214;1.269636,0
434,320,-7000;10776;8824,1231;-658;-996,-0.07397205;0.01698578;1.203257,0.0900047;-0.01143879;1.188075,0.1426968;-0.2033029;1.153816,0.1188673;-0.2370611;0.969005,0.0796379;-0.2442254;0.8152952,-0.07530604;-0.4540271;1.269553,0
468,320,-7300;10820;8412,1112;-492;-1013,-0.07399506;0.01696941;1.203264,0.08999874;-0.01172697;1.188449,0.1429659;-0.2035928;1.153715,0.1182399;-0.2370561;0.9689656,0.08243912;-0.2468179;0.8160312,-0.07526331;-0.454071;1.269679,0
505,320,-7348;10664;8656,985;-556;-831,-0.0740014;0.01694479;1.203202,0.09016774;-0.009656348;1.187843,0.1427016;-0.2036502;1.153336,0.114382;-0.2363133;0.9689567,0.08837099;-0.2501;0.8162901,-0.07538031;-0.4537871;1.269704,0
539,320,-7132;10732;8584,1165;-709;-752,-0.07402213;0.01688828;1.203136,0.09020463;-0.008881214;1.187403,0.141945;-0.2044166;1.152609,0.09875612;-0.2970581;0.9212062,0.09250302;-0.2532087;0.8170277,-0.07507307;-0.4535944;1.269765,0
568,321,-6916;10756;8756,1053;-490;-954,-0.07397979;0.01686472;1.203079,0.09036969;-0.008264239;1.187183,0.1414779;-0.2041569;1.152298,0.1038304;-0.2323507;0.9688376,0.09857368;-0.2549922;0.8176267,-0.07506023;-0.4534047;1.26981,0
601,320,-7348;10804;8504,1214;-436;-963,-0.07394209;0.01685259;1.202967,0.09049236;-0.007237657;1.186792,0.1393563;-0.2047914;1.151978,0.07299224;-0.2720393;0.9307133,0.09665659;-0.272907;0.8382747,-0.07474657;-0.4530921;1.269874,0
633,320,-7160;10580;8712,1182;-510;-786,-0.07396595;0.01686457;1.202919,0.09043936;-0.006914908;1.186595,0.1378025;-0.2050369;1.152283,0.1005044;-0.2367165;0.9693391,0.1016178;-0.2722414;0.8370758,-0.07505454;-0.4527806;1.269847,0
669,320,-7092;10908;8652,1347;-521;-806,-0.07402236;0.01685761;1.202976,0.09029195;-0.008107388;1.187415,0.1363218;-0.2056611;1.15236,0.1009089;-0.236791;0.9689437,0.1049647;-0.2730417;0.8373277,-0.07500163;-0.452834;1.269938,0
702,320,-7040;10856;8416,1100;-469;-994,-0.07404072;0.01686211;1.202963,0.09020266;-0.007826851;1.187037,0.1350925;-0.2057427;1.152729,0.1013095;-0.2372344;0.9690674,0.1066361;-0.2723077;0.8370494,-0.0748346;-0.4526285;1.269907,0
737,320,-7024;10896;8436,1335;-507;-989,-0.07406586;0.01686084;1.20286,0.09006804;-0.00754737;1.186562,0.1337518;-0.2062128;1.151841,0.1019947;-0.2371902;0.9677268,0.107173;-0.2749304;0.8391033,-0.07473579;-0.4524326;1.269915,0
768,320,-7008;11020;8404,1140;-486;-853,-0.07402554;0.01680804;1.202509,0.08996204;-0.006995459;1.185915,0.1324279;-0.2065557;1.150489,0.1037822;-0.2381974;0.965979,0.1088914;-0.2738406;0.8357716,-0.07433774;-0.4522825;1.26969,0
802,320,-7220;11056;8556,954;-460;-864,-0.07404079;0.0168322;1.202532,0.08992774;-0.006624975;1.185878,0.1320509;-0.2068175;1.150515,0.1042069;-0.2382195;0.96584,0.1109475;-0.2751677;0.837541,-0.07420889;-0.4521893;1.269751,0
835,320,-7380;10548;8588,766;-332;-767,-0.07417527;0.0168396;1.202423,0.08984302;-0.00782288;1.186553,0.1315663;-0.2071506;1.150075,0.1051751;-0.237685;0.9650365,0.1109217;-0.2738856;0.8352334,-0.07424457;-0.4522167;1.269742,0
867,320,-7060;10224;9008,1257;-832;-633,-0.07434116;0.01686985;1.202483,0.08974741;-0.008876481;1.187342,0.1310819;-0.2072302;1.150244,0.1096311;-0.3644195;0.9539204,0.1072826;-0.3385056;0.8775055,-0.07434148;-0.4523918;1.269845,0
900,320,-7112;11144;8660,1752;-722;-1185,-0.07435103;0.01687234;1.202417,0.08971746;-0.009802179;1.187786,0.1304854;-0.2076264;1.15055,0.116863;-0.2781127;0.907936,0.1120445;-0.2678087;0.8208697,-0.07434289;-0.4524077;1.269842,0
