Time_Stamp,Flex,Accel,Gyro,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,1021,116;-16268;-2592,1360;15563;9260,-0.1538737;-0.04155065;0.9897551,-0.1456906;-0.02921841;0.9510577,-0.2263261;-0.06813249;1.13886,-0.1877005;0.1832883;1.258491,-0.03055758;0.2162013;1.246037,0.0265496;-0.2249707;1.304122,0
31,338,-496;-16868;-1428,3803;9766;7591,-0.1545753;-0.04159204;0.987308,-0.1457756;-0.02912034;0.9510217,-0.2263361;-0.06828914;1.138803,-0.1877065;0.1832075;1.258262,-0.03053549;0.2161658;1.245841,0.02670592;-0.225125;1.303455,0
64,1023,-732;-15848;-1748,3541;4171;5370,-0.1535252;-0.04194852;0.9896386,-0.1458607;-0.02911771;0.9511398,-0.2263232;-0.06832998;1.138955,-0.1876993;0.1832174;1.258299,-0.03026674;0.2163761;1.246483,0.02662966;-0.2256591;1.302695,0
97,339,-1588;-17052;-1924,2859;2384;2852,-0.1534608;-0.04174231;0.9892209,-0.1457498;-0.02902936;0.9509321,-0.2262404;-0.06835199;1.138712,-0.1876942;0.1831236;1.258247,-0.03031997;0.2163341;1.246393,0.02574248;-0.2264037;1.301911,0
131,344,-1212;-16696;-2444,1345;231;900,-0.1532151;-0.04191871;0.9894959,-0.1457638;-0.02892138;0.950954,-0.2262361;-0.06832799;1.138724,-0.1876709;0.1831313;1.258289,-0.03031875;0.2163246;1.246345,0.02625812;-0.2264235;1.301725,0
167,352,-1156;-17296;-3176,1855;2397;249,-0.1538308;-0.0419941;0.9892184,-0.1457049;-0.02897373;0.9507613,-0.2261703;-0.06821649;1.138568,-0.1876529;0.1831626;1.258333,-0.03001878;0.2166343;1.247213,0.02628628;-0.2263986;1.301742,0
200,354,-1296;-16544;-2484,931;1899;-1687,-0.1541556;-0.04205708;0.9896365,-0.1458496;-0.02904512;0.9509902,-0.2261818;-0.068287;1.138855,-0.1876586;0.1831989;1.258375,-0.03005834;0.2166355;1.247173,0.0256479;-0.225792;1.303092,0
232,359,-988;-16388;-2604,1727;2065;-146,-0.1538901;-0.04225836;0.9914169,-0.1460163;-0.02915535;0.9512863,-0.2261815;-0.06843531;1.139214,-0.1876517;0.1831936;1.258406,-0.03007023;0.2166193;1.247119,0.02604365;-0.2258428;1.303042,0
265,361,-1104;-16468;-2104,2295;1424;-1092,-0.1546143;-0.04189748;0.9897137,-0.1449708;-0.02888341;0.9491434,-0.2254344;-0.06745078;1.137092,-0.1876439;0.1833129;1.258497,-0.03008989;0.2165979;1.247032,0.02609458;-0.2258421;1.303005,0
298,1023,-1536;-16112;-2168,26;53;-2320,-0.1547008;-0.04186297;0.9906689,-0.1447057;-0.02895691;0.9493538,-0.2254912;-0.06746317;1.137177,-0.1876379;0.1833171;1.258522,-0.0301217;0.2165748;1.246908,0.02641719;-0.226161;1.302407,0
331,1023,-892;-16448;-2964,463;488;-926,-0.154599;-0.04170184;0.9896488,-0.1448365;-0.02914008;0.9493494,-0.225477;-0.06734902;1.137296,-0.1876558;0.1834367;1.25864,-0.03013904;0.2165748;1.246898,0.02622033;-0.2256627;1.303395,0
363,1010,-832;-16340;-2864,1046;-96;-1127,-0.1549046;-0.04188756;0.987032,-0.1449212;-0.02933069;0.9490439,-0.2255162;-0.06728353;1.137062,-0.1876537;0.1833969;1.258626,-0.0301997;0.2165304;1.246795,0.02613658;-0.2258108;1.30314,0
402,1022,-1452;-16716;-2668,1525;61;-899,-0.1554645;-0.042114;0.9828457,-0.1423897;-0.02910583;0.943473,-0.2246656;-0.06470961;1.131224,-0.1876588;0.1833922;1.258619,-0.03027841;0.21647;1.246677,0.02580762;-0.2263059;1.302543,0
431,1023,-1124;-16404;-2164,1046;-992;-1556,-0.1581396;-0.04295208;0.9788517,-0.1424869;-0.0290702;0.9402561,-0.2246623;-0.06323595;1.12832,-0.1876542;0.1834419;1.258634,-0.0302791;0.2164739;1.246674,0.02595548;-0.2259059;1.303335,0
463,1023,-976;-16348;-2900,724;-558;-1685,-0.1653681;-0.04327134;0.9756515,-0.1726189;-0.04010699;0.9985829,-0.2590185;-0.08026208;1.206481,-0.1876324;0.1834839;1.258666,-0.03031989;0.2164497;1.246604,0.02582275;-0.2261233;1.303152,0
498,1020,-1020;-16684;-2796,1412;-201;-1596,-0.1725377;-0.04425368;0.969819,-0.1766823;-0.04126797;0.9959741,-0.2620986;-0.07923301;1.204851,-0.187575;0.1833974;1.258468,-0.0303633;0.2163807;1.246454,0.02566946;-0.2269122;1.302168,0
531,1023,-864;-16496;-2508,446;-533;-2536,-0.181233;-0.04559514;0.964833,-0.204145;-0.03485517;1.009105,-0.2654461;-0.07795801;1.2032,-0.1875568;0.183395;1.258498,-0.03038874;0.2163444;1.246413,0.02568435;-0.2270943;1.30202,0
