Time_Stamp,Flex,Force,TrimmingId
0,331,1023,0
35,329,1023,0
66,332,1023,0
97,332,1023,0
132,329,1023,0
169,331,1023,0
199,344,1023,0
234,371,1023,0
264,1023,1022,0
828,1021,1023,0
836,1021,1023,0
866,1023,1023,0
898,1023,1023,0
929,1023,1023,0
968,1022,1023,0
998,1022,1023,0
1034,1021,1023,0
1068,1023,1023,0
1099,1019,1023,0
1135,1023,1023,0
1164,1023,1023,0
1201,1023,1023,0
1231,1018,1021,0
1268,1023,1023,0
1296,1023,1023,0
1331,1016,1022,0
1365,1023,1023,0
1397,1023,1023,0
1434,1022,1023,0
1467,339,1023,0
1501,334,1021,0
1534,333,1023,0
1567,333,1023,0
1599,329,1023,0
1636,330,1023,1
1667,329,1023,1
1699,329,1023,1
1734,333,1023,1
1767,332,1019,1
1799,330,1023,1
1832,332,1023,1
1866,329,1023,1
1900,329,1023,1
1932,333,1023,1
1967,336,1023,1
1997,333,1021,1
2032,331,1023,1
2067,333,1023,1
2101,334,1023,1
2131,334,1023,1
2167,332,1023,1
2198,330,1023,1
2232,334,1023,1
2265,335,1023,1
2301,333,1023,1
2333,334,1023,1
2367,331,1023,1
2398,334,1023,1
2432,331,1023,1
2467,334,1023,1
2498,332,1023,1
2534,336,1023,1
2567,336,1023,1
2597,345,1023,1
2631,364,1023,1
2665,1021,1023,1
2699,1023,1023,1
2731,1023,1023,1
2767,1021,1023,1
2800,1023,1023,1
2831,1023,1023,1
2867,1023,1023,1
2897,1023,1023,1
2932,1022,1022,1
2966,1023,1023,1
3000,1022,1023,1
3030,1020,1023,1
3067,1023,1020,1
3098,1023,1023,1
3131,1022,1023,1
3166,390,1023,1
3201,360,1023,1
3232,334,1022,1
3265,330,1023,1
3298,331,1022,1
3330,328,1023,1
3365,329,1022,1
3398,329,1023,1
3432,331,1023,1
3465,331,1023,1
3497,331,1023,2
3532,330,1022,2
3564,330,1023,2
3600,331,1020,2
3633,331,1023,2
3664,331,1023,2
3697,333,1023,2
3760,331,1023,2
3770,332,1023,2
3800,329,1021,2
3833,332,1023,2
3864,332,1022,2
3899,332,1023,2
3930,331,1023,2
3964,331,1023,2
4003,332,1023,2
4033,331,1023,2
4066,332,1023,2
4098,334,1023,2
4130,331,1023,2
4165,331,1023,2
4200,333,1023,2
4234,332,1023,2
4266,332,1023,2
4300,333,1023,2
4331,331,1023,2
4365,329,1022,2
4399,331,1023,2
4431,340,1023,2
4467,356,1023,2
4499,372,1023,2
4530,409,1022,2
4566,1023,1023,2
4597,1023,1023,2
4630,1017,1022,2
4667,1023,1023,2
4698,1023,1023,2
4732,1023,1023,2
4765,1023,1021,2
4798,1023,1022,2
4832,1023,1023,2
4865,1018,1023,2
4899,1022,1023,2
4931,1023,1023,2
4964,1023,1023,2
4997,1023,1023,2
5032,377,1023,2
5064,345,1023,2
5099,332,1023,2
5134,330,1021,2
5164,332,1023,2
5197,330,1023,2
5231,328,1023,2
5264,328,1023,2
5297,329,1023,2
5332,331,1023,2
5364,331,1023,2
5398,329,1023,2
5430,331,1023,2
5465,331,1023,2
5498,332,1023,2
5531,331,1023,2
5566,330,1023,2
5598,330,1023,2
5631,331,1023,2
5665,329,1023,2
5697,332,1023,2
5730,332,1023,2
5765,332,1023,2
5799,331,1023,2
5833,333,1023,2
5863,333,1023,2
5897,330,1023,2
5930,332,1022,2
5964,332,1023,2
5999,332,1023,2
6031,332,1021,2
6064,334,1023,2
6097,332,1023,2
6129,331,1023,2
6164,332,1023,2
