Time_Stamp,Flex,Force,TrimmingId
0,326,1023,0
31,324,1023,0
66,325,1021,0
97,322,1023,0
132,324,1023,0
165,323,1023,0
197,328,1023,0
232,325,1023,0
263,327,1023,0
298,325,1023,0
330,322,1022,0
363,322,1023,0
397,320,1023,0
430,323,1023,0
472,324,1023,0
496,322,1022,0
530,320,1023,0
563,318,1022,0
599,319,1023,0
663,314,1023,0
699,313,1023,0
730,316,1022,0
764,311,1023,0
818,311,1023,0
831,314,1022,0
865,313,1023,0
899,320,1023,0
930,318,1023,0
964,311,1023,0
997,313,1021,0
1030,316,1023,0
1064,311,1023,0
1097,310,1023,0
1129,313,1023,0
1163,318,1023,0
1196,316,1023,0
1230,318,1023,0
1263,321,1023,0
1297,319,1023,0
1331,320,1023,0
1365,324,1023,0
1399,325,1022,0
1429,329,1022,0
1463,325,1023,0
1497,326,1023,0
1532,326,1023,0
1564,327,1018,0
1598,325,1022,0
1629,323,1023,0
1663,320,1023,0
1696,321,1023,0
1730,319,1023,0
1765,312,1023,0
1797,314,1023,0
1830,315,1023,0
1863,312,1023,0
1897,313,1023,0
1929,314,1023,0
1964,313,1023,0
1997,313,1023,0
2030,320,1023,0
2067,315,1021,0
2095,310,1023,0
2130,312,1023,0
2163,313,1023,0
2198,313,1023,0
2230,312,1023,0
2263,312,1023,0
2297,313,1023,0
2330,314,1023,0
2363,316,1022,0
2397,312,1022,0
2431,313,1023,0
2463,307,1023,0
2495,313,1023,0
2529,312,1023,0
2563,313,1023,1
2596,312,1023,1
2632,310,1023,1
2663,312,1023,1
2696,313,1023,1
2729,312,1023,1
2764,308,1023,1
2797,311,1023,1
2831,314,1023,1
2865,312,1023,1
2897,315,1022,1
2930,317,1022,1
2963,317,1023,1
2995,320,1023,1
3030,316,1016,1
3063,320,1023,1
3095,316,1022,1
3151,319,1023,1
3166,318,1023,1
3197,325,1023,1
3229,319,1023,1
3263,319,1023,1
3296,317,1023,1
3330,318,1023,1
3363,318,1023,1
3396,313,1023,1
3430,314,1023,1
3465,315,1022,1
3500,314,1022,1
3531,312,1023,1
3564,313,1023,1
3596,316,1023,1
3629,314,1023,1
3663,313,1023,1
3697,315,1023,1
3733,316,1023,1
3765,314,1022,1
3797,315,1023,1
3828,312,1023,1
3862,313,1023,1
3895,314,1023,1
3930,315,1023,1
3963,316,1023,1
3996,314,1023,1
4029,319,1023,1
4063,314,1023,1
4096,313,1023,1
4131,311,1023,1
4166,314,1023,1
4198,316,1021,1
4230,314,1023,1
4262,313,1023,1
4296,312,1023,1
4328,313,1023,1
4364,315,1023,1
4397,315,1023,1
4428,313,1023,1
4462,314,1022,1
4495,312,1023,1
4528,312,1023,1
4564,312,1022,1
4600,316,1023,1
4631,319,1023,1
4664,318,1022,1
4697,317,1023,1
4752,315,1023,1
4766,319,1020,1
4798,326,1023,1
4829,319,1023,1
4864,320,1022,1
4895,320,1023,1
4928,315,1023,1
4964,317,1023,1
4996,317,1023,1
5030,318,1022,1
5066,320,1023,2
5096,317,1023,2
5129,315,1023,2
5163,312,1023,2
5196,314,1023,2
5231,314,1021,2
5266,315,1023,2
5297,315,1018,2
5331,316,1022,2
5365,313,1023,2
5417,315,1023,2
5430,315,1023,2
5465,313,1023,2
5499,314,1022,2
5529,313,1023,2
5563,313,1023,2
5597,315,1023,2
5630,313,1023,2
5664,314,1023,2
5697,313,1022,2
5731,312,1020,2
5765,314,1023,2
5797,316,1023,2
5830,315,1023,2
5864,313,1023,2
5898,313,1023,2
5930,314,1021,2
5965,309,1023,2
5997,313,1021,2
6031,314,1023,2
6065,314,1023,2
6097,313,1023,2
6129,313,1023,2
6164,313,1023,2
6196,315,1023,2
6230,313,1023,2
6263,315,1023,2
6296,314,1023,2
6330,307,1023,2
6363,312,1022,2
6396,311,1023,2
6429,314,1023,2
6463,315,1023,2
6496,314,1022,2
6530,315,1023,2
6570,312,1023,2
6596,312,1022,2
6629,311,1023,2
6664,313,1023,2
6696,314,1023,2
6729,313,1023,2
6764,315,1023,2
6799,316,1022,2
6831,310,1023,2
6866,312,1023,2
6896,313,1023,2
6929,314,1023,2
6964,314,1023,2
6996,311,1023,2
7029,316,1023,2
7063,312,1023,2
7096,312,1022,2
7129,312,1023,2
7163,314,1023,2
7197,318,1023,2
7229,312,1022,2
7264,311,1023,2
7296,313,1023,2
7330,313,1023,2
7362,315,1023,2
7397,315,1023,2
