Time_Stamp,Flex,Force,TrimmingId
0,316,1023,0
33,315,1023,0
68,315,1023,0
102,315,1023,0
133,315,1023,0
166,315,1023,0
199,315,1023,0
232,315,1023,0
267,315,1023,0
305,315,1023,0
334,315,1023,0
366,315,1023,0
399,315,1023,0
433,315,1023,0
468,315,1023,0
499,315,1023,0
536,315,1023,0
567,315,1023,0
602,315,1023,0
632,315,1023,0
666,315,1023,0
699,315,1023,0
735,315,1023,0
768,315,1023,0
800,315,1023,0
835,315,1023,0
867,315,1023,0
899,315,1023,0
936,315,1023,0
969,315,1023,0
1001,315,1023,0
1034,315,1023,0
1067,315,1023,0
1100,315,1023,0
1136,315,1023,0
1169,315,1023,0
1201,315,1023,0
1234,315,1023,0
1267,315,1023,0
1299,315,1023,0
1335,315,1023,0
1368,315,1023,0
1403,315,1023,0
1435,315,1023,0
1468,315,1023,0
1500,315,1023,0
1535,315,1023,0
1567,315,1023,0
1601,315,1023,0
1635,315,1023,0
1668,315,1023,0
1700,315,1023,0
1735,315,1023,0
1769,315,1023,0
1802,315,1023,0
1835,315,1023,0
1869,315,1023,0
1902,315,1023,0
1936,315,1023,0
1968,315,1023,0
2000,315,1023,0
2034,315,1023,0
2070,315,1023,0
2100,314,1023,0
2134,315,1023,0
2168,315,1023,0
2200,315,1023,0
2233,315,1023,0
2270,315,1023,0
2301,315,1023,0
2351,315,1023,0
2367,315,1023,0
2400,315,1023,0
2434,315,1023,0
2468,315,1023,0
2502,315,1023,0
2533,315,1023,0
2567,315,1023,0
2603,315,1023,0
2633,315,1023,0
2669,315,1023,0
2703,315,1023,0
2736,315,1023,0
2768,315,1023,0
2800,315,1023,0
2834,315,1023,0
2867,315,1023,0
2900,315,1023,0
2937,315,1023,0
2968,315,1023,0
3001,315,1023,0
3034,315,1023,0
3067,315,1023,0
3112,315,1023,0
3138,315,1023,0
3168,315,1023,0
3201,315,1023,0
3234,315,1023,0
3267,315,1023,0
3299,315,1023,0
3337,315,1023,0
3368,315,1023,0
3402,315,1023,0
3435,315,1023,0
3467,315,1023,0
3500,315,1023,0
3535,315,1023,0
3568,315,1023,0
3601,315,1023,0
3636,315,1023,0
3667,315,1023,0
3700,315,1023,0
3735,315,1023,0
3771,315,1023,0
3801,315,1023,0
3854,315,1023,0
3867,315,1023,0
3900,315,1023,0
3935,315,1023,0
3966,315,1023,0
4000,315,1023,0
4035,315,1023,0
4066,315,1023,0
4100,315,1023,0
4135,315,1023,0
4166,315,1023,0
4204,315,1023,0
4259,314,1023,0
4269,315,1023,0
4300,315,1023,0
4333,315,1023,0
4366,315,1023,0
4400,315,1023,0
4435,315,1023,0
4467,315,1023,0
4500,315,1023,0
4535,315,1023,0
4566,315,1023,0
4600,315,1023,0
4635,315,1023,0
4669,315,1023,0
4700,315,1023,0
4734,315,1023,0
4766,315,1023,0
4800,315,1023,0
4833,315,1023,0
4868,315,1023,0
4916,315,1023,0
4935,315,1023,1
4966,315,1023,1
5000,315,1023,1
5034,315,1023,1
5069,315,1023,1
5101,315,1023,1
5135,315,1023,1
5166,315,1023,1
5199,315,1023,1
5234,315,1023,1
5276,315,1023,1
5301,315,1023,1
5336,315,1023,1
5369,315,1023,1
5400,315,1023,1
5433,315,1023,1
5466,315,1023,1
5502,315,1023,1
5537,315,1023,1
5568,315,1023,1
5615,315,1023,1
5633,315,1023,1
5668,315,1023,1
5701,315,1023,1
5737,315,1023,1
5769,315,1023,1
5803,315,1023,1
5834,315,1023,1
5868,315,1023,1
5899,315,1023,1
