Time_Stamp,Flex,Force,TrimmingId
0,300,1023,0
33,300,1023,0
63,300,1023,0
97,300,1023,0
130,300,1023,0
163,300,1023,0
198,300,1023,0
231,300,1023,0
264,300,1023,0
297,300,1023,0
329,300,1023,0
363,300,1023,0
397,301,1023,0
431,300,1023,0
466,300,1023,0
497,301,1023,0
529,301,1023,0
563,301,1023,0
597,300,1023,0
630,299,1023,0
665,300,1023,0
698,300,1023,0
737,300,1023,0
761,300,1023,0
798,300,1023,0
830,300,1023,0
864,300,1023,0
898,300,1023,0
930,300,1023,0
963,300,1023,0
997,299,1023,0
1028,300,1023,0
1065,300,1023,0
1098,301,1023,0
1130,300,1023,0
1163,301,1023,0
1197,300,1023,0
1229,300,1023,0
1263,300,1023,0
1296,301,1023,0
1331,300,1023,0
1363,300,1023,0
1397,301,1023,0
1429,300,1023,0
1464,300,1023,0
1498,300,1023,0
1531,300,1023,0
1563,301,1023,0
1597,300,1023,0
1629,300,1023,0
1663,299,1023,0
1697,300,1023,0
1730,300,1023,0
1763,300,1023,1
1797,300,1023,1
1829,300,1023,1
1862,300,1023,1
1938,300,1023,1
1965,300,1023,1
1997,298,1023,1
2029,300,1023,1
2063,300,1023,1
2098,300,1023,1
2129,300,1023,1
2164,300,1023,1
2198,299,1023,1
2232,300,1023,1
2264,300,1023,1
2296,300,1023,1
2329,300,1023,1
2364,300,1023,1
2398,300,1023,1
2430,300,1023,1
2463,300,1023,1
2496,300,1023,1
2529,301,1023,1
2562,302,1023,1
2599,302,1023,1
2629,302,1023,1
2662,302,1023,1
2696,301,1023,1
2729,301,1023,1
2766,302,1023,1
2797,302,1023,1
2831,301,1023,1
2864,301,1023,1
2895,301,1023,1
2929,301,1023,1
2962,302,1023,1
2997,301,1023,1
3030,301,1023,1
3065,302,1023,1
3096,300,1023,1
3131,302,1023,1
3163,301,1023,1
3197,301,1023,1
3231,301,1023,1
3264,301,1023,1
3296,301,1023,1
3328,301,1023,1
3372,301,1023,1
3396,301,1023,1
3430,301,1023,1
3465,301,1023,1
3500,301,1023,1
3530,301,1023,1
3563,300,1023,1
3596,301,1023,1
3629,301,1023,1
3666,301,1023,1
3699,301,1023,1
3733,300,1023,1
3764,300,1023,1
3796,301,1023,1
3832,301,1023,1
3863,300,1023,1
3901,301,1023,1
3931,301,1023,1
3963,300,1023,1
3999,300,1023,1
4028,300,1023,1
4066,301,1023,1
4096,301,1023,1
4134,300,1023,1
4165,301,1023,1
4198,301,1023,1
4227,300,1023,2
4262,301,1023,2
4295,301,1023,2
4332,301,1023,2
4365,301,1023,2
4398,300,1023,2
4467,300,1023,2
4497,301,1023,2
4531,301,1023,2
4566,301,1023,2
4599,301,1023,2
4629,300,1023,2
4666,301,1023,2
4695,300,1023,2
4730,300,1023,2
4765,300,1023,2
4799,300,1023,2
4831,300,1023,2
4864,300,1023,2
4898,300,1023,2
4931,301,1023,2
4964,301,1023,2
5000,300,1023,2
5031,299,1023,2
5063,300,1023,2
5095,300,1023,2
5128,300,1023,2
5164,301,1023,2
5197,301,1023,2
5231,298,1023,2
5262,300,1023,2
5297,300,1023,2
5330,300,1023,2
5361,301,1023,2
5398,301,1023,2
5432,300,1023,2
5504,298,1023,2
5529,299,1023,2
5563,298,1023,2
5598,299,1023,2
5630,299,1023,2
5665,299,1023,2
5698,302,1023,2
5730,306,1023,2
5763,308,1023,2
5796,311,1023,2
5831,313,1023,2
5866,314,1023,2
5900,314,1023,2
5935,315,1023,2
5963,315,1023,2
5997,317,1023,2
6028,318,1023,2
6065,320,1022,2
6097,320,1023,2
6129,320,1023,2
6164,320,1023,2
6199,318,1023,2
6229,316,1023,2
6265,313,1023,2
6299,311,1023,2
6331,308,1023,2
6363,307,1023,2
6398,304,1023,2
6429,303,1023,2
6464,302,1023,2
6499,301,1023,2
