Time_Stamp,Flex,Force,TrimmingId
0,1023,1022,0
34,1022,1023,0
64,1023,1023,0
97,1022,1023,0
130,1020,1023,0
165,1023,1022,0
198,1021,1023,0
231,1023,1023,0
264,1023,1023,0
296,1020,1023,0
331,1023,1023,0
364,1023,1021,0
397,1021,1023,0
432,1023,1023,0
465,1023,1023,0
497,1023,1023,0
530,1023,1023,0
564,1022,1023,0
597,1023,1023,0
642,1023,1023,0
665,1023,1023,0
697,1023,1023,0
731,1021,1023,0
764,1023,1023,0
796,1023,1023,0
833,1022,1023,0
868,1023,1023,0
897,1023,1020,0
931,1020,1023,0
978,1020,1023,0
997,1023,1023,0
1031,1021,1023,0
1066,1022,1023,0
1098,1023,1023,0
1131,1023,1023,0
1164,1021,1023,0
1197,1023,1023,0
1231,1023,1023,0
1265,1020,1023,0
1299,1022,1023,0
1331,1023,1023,0
1364,1023,1023,0
1397,1022,1023,0
1430,1021,1022,0
1464,1022,1023,0
1503,1023,1023,0
1531,1020,1023,0
1563,1022,1022,1
1596,1023,1023,1
1630,1023,1023,1
1665,1022,1023,1
1699,1023,1023,1
1731,1023,1023,1
1764,1023,1022,1
1796,1021,1023,1
1831,1019,1023,1
1864,1023,1022,1
1925,1023,1023,1
1935,1020,1023,1
1964,1023,1023,1
1996,1023,1023,1
2031,1023,1023,1
2064,1020,1023,1
2097,1023,1023,1
2131,1023,1023,1
2167,1023,1022,1
2197,1021,1022,1
2231,1023,1023,1
2264,1023,1023,1
2298,1023,1023,1
2331,1019,1023,1
2366,1023,1023,1
2398,1023,1022,1
2468,1023,1023,1
2496,1023,1023,1
2530,1020,1023,1
2567,1023,1023,1
2598,1023,1023,1
2633,1020,1023,1
2679,1023,1023,1
2698,1023,1023,1
2731,1023,1023,1
2765,1018,1023,1
2801,1021,1023,1
2834,1023,1023,1
2866,1022,1023,1
2898,1023,1023,1
2931,1023,1023,1
2965,1023,1023,1
2998,1023,1023,1
3035,1023,1023,1
3083,1023,1023,1
3098,1022,1023,1
3131,1021,1023,1
3164,1023,1023,2
3198,1023,1023,2
3233,1021,1022,2
3267,1022,1023,2
3298,1023,1023,2
3331,1023,1023,2
3364,1022,1023,2
3397,1023,1023,2
3431,1023,1023,2
3465,1023,1023,2
3499,1022,1022,2
3532,1022,1023,2
3565,1023,1023,2
3599,1023,1023,2
3631,1023,1023,2
3667,1022,1023,2
3729,1023,1020,2
3738,1023,1023,2
3766,1021,1023,2
3798,1020,1023,2
3832,1023,1023,2
3865,1023,1023,2
3900,1023,1023,2
3933,1021,1020,2
3965,1023,1023,2
3998,1023,1023,2
4032,1023,1023,2
4065,1021,1023,2
4098,1023,1023,2
4132,1023,1023,2
4165,1023,1023,2
4197,1022,1023,2
4231,1023,1023,2
4265,1023,1023,2
4297,1020,1023,2
4332,1023,1023,2
4364,1023,1021,2
4397,1019,1023,2
4430,1020,1023,2
4464,1022,1023,2
4497,1020,1023,2
4531,1023,1023,2
4566,1023,1023,2
4597,1023,1023,2
4633,1022,1023,2
4664,1023,1023,2
4697,1020,1023,2
4731,1023,1023,2
4765,1023,1023,2
4797,1020,1023,2
4831,1023,1023,2
4864,1023,1023,2
4897,1020,1023,2
4931,1023,1023,2
4964,1023,1023,2
4998,1023,1023,2
5034,1023,1023,2
5064,1019,1020,2
5097,1022,1023,2
