Time_Stamp,Flex,Force,TrimmingId
0,352,1023,0
33,353,1023,0
65,350,1023,0
99,352,1023,0
133,351,1023,0
166,352,1023,0
200,353,1022,0
235,351,1022,0
267,351,1023,0
298,352,1023,0
333,353,1021,0
368,351,1023,0
401,351,1023,0
435,352,1023,0
468,347,1023,0
499,350,1022,0
532,353,1023,0
566,351,1021,0
600,351,1023,0
634,350,1023,0
669,352,1023,0
702,351,1023,0
735,351,1022,0
769,350,1023,0
802,350,1023,0
834,350,1023,0
869,351,1023,0
901,348,1023,0
935,351,1023,0
967,351,1023,0
999,351,1023,0
1033,350,1022,0
1070,348,1023,0
1102,351,1023,0
1133,352,1023,0
1167,349,1023,0
1199,350,1019,0
1233,351,1023,0
1266,351,1023,0
1300,351,1020,0
1334,351,1023,0
1367,350,1023,0
1400,350,1023,0
1434,349,1022,0
1467,352,1022,0
1503,351,1023,0
1536,350,1023,0
1567,351,1023,0
1599,348,1023,0
1633,353,1022,0
1667,351,1023,0
1701,351,1023,0
1733,351,1023,0
1768,352,1023,0
1800,349,1023,0
1833,351,1022,0
1866,351,1023,0
1900,352,1023,0
1935,349,1023,0
1968,350,1023,0
2002,351,1021,0
2032,352,1023,0
2067,351,1022,0
2100,351,1023,0
2133,349,1023,0
2168,352,1023,0
2202,351,1022,0
2234,351,1021,0
2273,352,1023,0
2299,352,1023,0
2334,351,1023,0
2367,350,1023,0
2402,351,1023,0
2433,351,1023,0
2466,350,1023,0
2499,350,1023,0
2533,350,1022,0
2565,352,1023,0
2600,352,1023,0
2634,351,1023,0
2665,351,1023,0
2740,351,1023,0
2766,351,1023,0
2798,349,1023,0
2833,351,1023,0
2866,353,1023,0
2899,350,1023,0
2932,348,1023,0
2965,351,1023,0
2998,351,1023,0
3034,349,1023,0
3066,350,1023,0
3099,352,1022,0
3132,348,1023,0
3166,350,1023,0
3201,350,1023,0
3233,352,1023,0
3267,352,1023,0
3299,350,1023,0
3332,349,1023,0
3374,351,1023,0
3398,351,1023,0
3432,349,1023,0
3467,352,1023,0
3533,347,1022,0
3565,347,1023,0
3598,347,1023,1
3632,346,1023,1
3666,345,1023,1
3739,344,1022,1
3765,342,1023,1
3798,340,1022,1
3832,337,1023,1
3865,334,1023,1
3899,331,1022,1
3933,329,1023,1
3965,332,1023,1
3998,328,1022,1
4032,323,1023,1
4066,325,1023,1
4099,324,1023,1
4133,328,1023,1
4167,333,1023,1
4199,346,1022,1
4233,350,1023,1
4265,362,1023,1
4298,378,1023,1
4333,381,1022,1
4367,382,1022,1
4399,389,1023,1
4449,400,1023,1
4465,406,1023,1
4502,413,1023,1
4532,420,1022,1
4565,422,1023,1
4598,427,1023,1
4636,424,1023,1
4664,429,1023,1
4699,430,1023,1
4732,428,1023,1
4768,423,1023,1
4799,423,1023,1
4845,425,1023,1
4865,422,1022,1
4899,421,1021,1
4932,419,1022,1
4964,422,1023,1
5001,425,1023,1
5034,420,1023,1
5066,417,1023,1
5098,420,1023,1
5131,421,1023,1
5165,420,1023,1
5199,417,1023,1
5231,412,1023,1
5267,401,1023,1
5298,386,1023,1
5332,369,1022,1
5364,352,1023,1
5399,341,1023,1
5434,338,1023,1
5466,336,1023,1
5499,337,1023,1
5534,336,1023,1
5565,338,1023,1
5598,339,1023,1
5633,334,1023,1
5667,336,1022,1
5698,338,1023,1
5733,338,1023,1
5765,344,1023,1
5800,341,1023,1
5834,340,1023,1
5868,340,1023,1
5899,341,1023,1
5933,342,1023,1
5967,342,1023,1
5998,343,1023,1
6031,344,1023,1
6067,343,1023,1
6099,343,1022,1
6133,341,1019,1
6164,344,1020,1
6199,346,1022,1
6232,343,1023,1
6266,345,1023,1
6300,344,1023,1
6333,345,1023,1
6366,343,1023,1
6399,344,1023,1
6432,345,1023,1
6466,344,1023,1
6501,344,1023,1
6534,346,1023,1
6565,347,1023,1
6598,347,1023,1
6632,347,1022,1
6665,348,1023,1
6700,349,1023,1
6734,349,1023,1
6766,348,1023,1
6798,349,1023,1
6832,346,1023,1
6865,347,1023,1
6898,344,1023,1
6933,344,1023,1
6968,340,1023,1
6999,335,1020,1
7033,328,1023,1
7065,324,1023,1
7098,332,1023,1
7133,342,1023,1
7167,348,1022,1
7198,356,1023,1
7231,364,1023,1
7265,362,1023,1
7298,371,1022,1
7332,380,1023,1
7367,389,1023,1
7399,412,1021,1
7433,431,1023,1
7467,440,1023,2
7498,447,1023,2
7532,446,1023,2
7567,451,1023,2
7600,453,1023,2
7633,461,1023,2
7683,458,1023,2
7698,458,1022,2
7733,458,1023,2
7769,462,1022,2
7799,462,1022,2
7834,461,1023,2
7865,464,1023,2
7897,460,1023,2
7933,458,1022,2
7965,453,1023,2
8000,450,1023,2
8035,445,1023,2
8067,433,1023,2
8097,425,1023,2
8133,420,1023,2
8165,401,1022,2
8198,381,1023,2
8234,361,1023,2
8266,353,1023,2
8297,348,1023,2
8333,343,1023,2
8364,341,1023,2
8398,340,1023,2
8433,340,1023,2
8468,339,1023,2
8498,340,1023,2
8533,341,1022,2
8565,338,1022,2
8599,341,1023,2
8633,342,1023,2
8667,340,1023,2
8699,342,1023,2
8733,340,1023,2
8765,339,1023,2
8798,342,1023,2
8832,342,1023,2
8867,343,1021,2
8899,344,1020,2
8933,345,1023,2
8965,347,1023,2
8999,343,1023,2
9032,344,1023,2
9066,345,1023,2
9099,345,1023,2
9135,346,1023,2
9166,345,1023,2
9199,345,1023,2
9232,341,1023,2
9266,342,1023,2
9297,341,1023,2
9333,340,1023,2
9367,334,1021,2
9398,329,1023,2
9432,326,1023,2
9465,323,1023,2
9498,320,1023,2
9532,328,1023,2
9568,342,1023,2
9600,354,1023,2
9633,358,1023,2
9665,361,1023,2
9698,368,1022,2
9732,378,1023,2
9765,381,1022,2
9799,393,1023,2
9832,403,1023,2
9866,412,1023,2
9898,417,1023,2
9932,422,1023,2
9965,422,1023,2
9999,422,1023,2
10034,427,1023,2
10065,429,1023,2
