Time_Stamp,Flex,Force,TrimmingId
0,315,1023,0
33,314,1023,0
66,314,1023,0
112,314,1023,0
131,314,1023,0
165,315,1023,0
198,316,1023,0
233,317,1023,0
267,318,1023,0
298,319,1023,0
331,318,1023,0
365,314,1023,0
402,313,1023,0
430,311,1023,0
467,310,1023,0
497,309,1023,0
530,310,1023,0
565,309,1023,0
597,309,1023,0
631,309,1023,0
665,309,1023,0
699,309,1023,0
730,309,1023,0
765,309,1023,0
798,309,1023,0
831,309,1023,0
865,309,1023,0
900,311,1023,0
933,311,1023,0
965,310,1023,0
997,310,1023,0
1031,310,1023,0
1065,310,1023,0
1098,310,1023,0
1131,310,1023,0
1165,310,1023,0
1198,310,1023,0
1231,310,1023,0
1265,310,1023,0
1297,310,1023,0
1331,310,1023,0
1365,310,1023,0
1397,310,1023,0
1430,310,1023,0
1465,311,1023,0
1497,311,1023,0
1532,310,1023,0
1565,310,1023,0
1598,312,1023,0
1633,313,1023,0
1667,312,1023,0
1697,312,1023,0
1731,312,1023,0
1767,348,1023,0
1798,333,1023,0
1830,330,1023,0
1865,332,1023,0
1898,332,1023,0
1930,331,1023,0
1966,331,1023,0
2000,331,1023,1
2036,331,1023,1
2066,331,1023,1
2100,332,1023,1
2130,332,1023,1
2166,332,1023,1
2200,332,1023,1
2234,331,1023,1
2278,332,1023,1
2330,311,1023,1
2366,311,1023,1
2402,311,1023,1
2434,310,1023,1
2467,311,1023,1
2498,310,1023,1
2532,310,1023,1
2566,311,1023,1
2599,311,1023,1
2636,310,1023,1
2667,310,1023,1
2699,310,1023,1
2733,310,1023,1
2767,311,1023,1
2799,310,1023,1
2835,310,1023,1
2868,310,1023,1
2899,310,1023,1
2934,310,1023,1
2966,310,1023,1
3001,310,1023,1
3032,310,1023,1
3068,310,1023,1
3100,310,1023,1
3135,310,1023,1
3166,310,1023,1
3201,310,1023,1
3232,310,1023,1
3269,310,1023,1
3301,310,1023,1
3335,310,1023,1
3367,310,1023,1
3399,310,1023,1
3433,310,1023,1
