Time_Stamp,Flex,Force,TrimmingId
0,1023,1023,0
31,1023,1023,0
66,1023,1023,0
101,1023,1023,0
132,1023,1023,0
167,1023,1023,0
199,1023,1023,0
232,1023,1023,0
265,1023,1023,0
300,1023,1023,0
330,1023,1023,0
367,1023,1023,0
400,1023,1023,0
431,1023,1023,0
466,1023,1023,0
500,1023,1023,0
531,1023,1023,0
567,1023,1023,0
600,1023,1023,0
631,1023,1023,0
665,1023,1023,0
700,1023,1023,0
732,1023,1023,0
764,1023,1023,0
800,1023,1023,0
832,1023,1023,0
864,1023,1023,0
899,1023,1023,0
931,1023,1023,0
966,1023,1023,0
998,1023,1023,0
1034,1023,1023,0
1076,1023,1023,0
1098,1023,1023,0
1132,1023,1023,0
1165,1023,1023,0
1199,1023,1023,0
1232,1023,1023,0
1266,1023,1023,0
1299,1023,1023,0
1331,1023,1023,0
1365,1023,1023,0
1398,1023,1023,0
1431,1023,1023,0
1466,1023,1023,0
1499,1023,1023,0
1531,1023,1023,0
1565,1023,1023,0
1599,1023,1023,0
1632,1023,1023,0
1667,1023,1023,0
1699,1023,1023,0
1730,1023,1023,0
1767,1023,1023,0
1797,1023,1023,0
1830,1023,1023,0
1865,1023,1023,0
1901,1023,1023,0
1931,1023,1023,0
1965,1023,1023,0
2009,1023,1023,0
2031,1023,1023,0
2063,1023,1023,0
2102,1023,1023,0
2134,1023,1023,0
2167,1023,1023,0
2199,1023,1023,0
2232,1023,1023,0
2267,1023,1023,0
2299,1023,1023,0
2334,1023,1023,0
2366,1023,1023,0
2400,1023,1023,0
2431,1023,1023,0
2464,1023,1023,0
2500,1023,1023,0
2534,1023,1023,0
2567,1023,1023,0
2599,1023,1023,0
2633,1023,1023,0
2667,1023,1023,0
2700,1023,1023,0
2733,1023,1023,0
2769,1023,1023,0
2800,1023,1023,0
2832,1023,1023,0
2868,1023,1023,0
2900,1023,1023,0
2932,1023,1023,0
2965,1023,1023,0
3002,1023,1023,0
3033,1023,1023,1
3066,1023,1023,1
3101,1023,1023,1
3133,1023,1023,1
3166,1023,1023,1
3201,1023,1023,1
3234,1023,1023,1
3266,1023,1023,1
3302,1023,1023,1
3333,1023,1023,1
3365,1023,1023,1
3400,1023,1023,1
3435,1023,1023,1
3466,1023,1023,1
3500,1023,1023,1
3547,1023,1023,1
3564,1023,1023,1
3600,1023,1023,1
3633,1023,1023,1
3668,1023,1023,1
3701,1023,1023,1
3733,1023,1023,1
3765,1023,1023,1
3798,1023,1023,1
3833,1023,1023,1
3868,1023,1023,1
3899,1023,1023,1
3932,1023,1023,1
3967,1023,1023,1
4005,1023,1023,1
4033,1023,1023,1
4065,1023,1023,1
4101,1023,1023,1
4133,1023,1023,1
4165,1023,1023,1
4199,1023,1023,1
4232,1023,1023,1
4267,1023,1023,1
4300,1023,1023,1
4333,1023,1023,1
4366,1023,1023,1
4400,1023,1023,1
4433,1023,1023,1
4465,1023,1023,1
4500,1023,1023,1
4532,1023,1023,1
4565,1023,1023,1
4599,1023,1023,1
4632,1023,1023,1
4665,1023,1023,1
4700,1023,1023,1
4733,1023,1023,1
4765,1023,1023,1
4800,1023,1023,1
4831,1023,1023,1
4866,1023,1023,1
4899,1023,1023,1
4932,1023,1023,1
4967,1023,1023,1
4999,1023,1023,1
5032,1023,1023,1
5064,1023,1023,1
5099,1023,1023,1
5131,1023,1023,1
5165,1023,1023,1
5200,1023,1023,1
5232,1023,1023,1
5265,1023,1023,1
5300,1023,1023,1
5331,1023,1023,1
5365,1023,1023,1
5401,1023,1023,1
5432,1023,1023,1
5464,1023,1023,1
5498,1023,1023,1
5531,1023,1023,1
5565,1023,1023,1
5600,1023,1023,1
5633,1023,1023,1
5665,1023,1023,1
5700,1023,1023,1
5731,1023,1023,1
5765,1023,1023,1
5798,1023,1023,1
5834,1023,894,1
5865,1023,1019,1
5898,1023,1023,1
5931,1023,1023,1
5965,1023,1023,1
6001,1023,1023,1
6031,1023,1023,1
6065,1023,1023,1
6099,1023,1023,1
6131,1023,1023,1
6164,1023,1023,1
6199,1023,1023,1
6231,1023,1023,1
6266,1023,1023,1
6298,1023,1023,1
6332,1023,1023,1
6365,1023,1023,1
6398,1023,1023,1
6431,1023,1023,1
6464,1023,1023,1
6499,1023,1023,1
6531,1023,1023,1
6565,1023,1023,1
6598,1023,1023,1
6632,1023,1023,1
6664,1023,1023,1
6699,1023,1023,1
6732,1023,1023,1
6764,1023,1023,1
6810,1023,1023,1
6831,1023,1023,1
6863,1023,1023,1
6900,1023,1023,1
6933,1023,1023,1
6965,1023,1023,1
6999,1023,1023,1
7031,1023,1023,1
7065,1023,1023,1
7097,1023,1023,1
7132,1023,1023,1
7165,1023,1023,1
7201,1023,1023,1
7231,1023,1023,1
7266,1023,1023,1
7299,1023,1023,1
7332,1023,1023,1
7365,1023,1023,1
7398,1023,1023,1
7431,1023,1023,1
7464,1023,1023,1
7499,1023,1023,1
7531,1023,1023,1
7566,1023,1023,1
7600,1023,1023,2
7632,1023,1023,2
7665,1023,1023,2
7700,1023,1023,2
7730,1023,1023,2
7766,1023,1023,2
7799,1023,1023,2
7833,1023,1023,2
7865,1023,1023,2
7898,1023,1023,2
7933,1023,1023,2
7964,1023,1023,2
8001,1023,1023,2
8033,1023,1023,2
8064,1023,1023,2
8100,1023,1023,2
8132,1023,1023,2
8165,1023,1023,2
8199,1023,1023,2
8233,1023,1023,2
8267,1023,1023,2
8299,1023,1023,2
8332,1023,1023,2
8367,1023,1023,2
8452,1023,1023,2
8467,1023,1023,2
8500,1023,1023,2
8532,1023,1023,2
8566,1023,1023,2
8598,1023,1023,2
8634,1023,1023,2
8668,1023,1023,2
8700,1023,1023,2
8732,1023,1023,2
8767,1023,1023,2
8800,1023,1023,2
8832,1023,1023,2
8865,1023,1023,2
8902,1023,1023,2
8931,1023,1023,2
8967,1023,1023,2
8999,1023,1023,2
9031,1023,1023,2
9066,1023,1023,2
9099,1023,1023,2
9134,1023,1023,2
9168,1023,1023,2
9199,1023,1023,2
9232,1023,1023,2
9267,1023,1023,2
9300,1023,1023,2
9333,1023,1023,2
9367,1023,1023,2
9400,1023,1023,2
9433,1023,1023,2
9468,1023,1023,2
9501,1023,1023,2
9533,1023,1023,2
9568,1023,1023,2
9600,1023,1023,2
9633,1023,1023,2
9667,1023,1023,2
9700,1023,1023,2
9736,1023,1023,2
