Time_Stamp,Flex,Force,TrimmingId
0,1020,1023,0
35,1023,1023,0
65,1019,1023,0
100,1020,1023,0
134,1023,1022,0
166,1019,1022,0
198,1020,1023,0
232,1023,1023,0
266,1023,1023,0
299,1023,1023,0
336,1018,1023,0
366,1023,1023,0
399,1023,1023,0
431,1023,1023,0
465,1021,1023,0
504,1021,1023,0
533,1023,1023,0
566,1023,1023,0
599,1021,1023,0
632,1022,1023,0
666,1023,1022,0
698,1023,1023,0
731,1021,1023,0
770,1018,1023,0
800,1023,1023,0
833,1021,1022,0
866,1019,1023,0
899,1021,1022,0
932,1018,1023,0
968,1023,1023,0
1000,1023,1023,0
1033,1023,1023,0
1068,1020,1022,0
1098,1022,1023,0
1132,1023,1020,0
1165,1023,1023,0
1199,1020,1023,0
1232,1023,1023,0
1266,1023,1023,0
1299,1020,1023,0
1332,1019,1023,0
1366,1023,1023,0
1398,1023,1023,0
1434,1020,1022,0
1499,1023,1023,0
1532,1023,1022,0
1566,1022,1023,0
1598,1017,1023,0
1632,1023,1023,0
1666,1023,1022,0
1699,1019,1023,0
1732,1023,1023,0
1766,1023,1017,0
1798,1021,1022,0
1834,1023,1023,1
1870,1023,1021,1
1899,1020,1023,1
1932,1018,1021,1
1966,1022,1023,1
1999,1023,976,1
2032,1018,847,1
2093,1016,700,1
2103,1017,584,1
2132,1020,498,1
2168,1023,473,1
2198,1018,557,1
2233,1023,615,1
2270,1018,649,1
2310,1019,692,1
2331,1023,688,1
2366,1023,708,1
2404,1023,703,1
2433,1022,700,1
2466,1017,705,1
2502,1015,713,1
2532,1023,718,1
2566,1022,719,1
2598,1020,727,1
2633,1017,740,1
2667,1023,724,1
2699,1023,720,1
2736,1020,727,1
2767,1016,732,1
2799,1022,725,1
2833,1023,736,1
2868,1023,753,1
2900,1020,734,1
2935,1017,725,1
2968,1021,743,1
2999,1023,796,1
3034,1021,881,1
3068,1022,1020,1
3100,1020,1023,1
3134,1023,1023,1
3169,1022,1023,1
3200,1020,1020,1
3232,1022,1023,1
3267,1023,1023,1
3300,1023,1023,1
3334,1021,1023,1
3368,1022,1023,1
3399,1023,1023,1
3432,1023,1023,1
3469,1023,1020,1
3499,1023,1023,1
3550,1021,1023,1
3567,1022,1023,1
3602,1023,1021,1
3632,1021,1022,1
3666,1023,1023,1
3698,1023,1023,1
3733,1023,1022,1
3765,1017,1023,1
3801,1022,1023,1
3833,1019,1023,1
3866,1023,1023,1
3898,1023,1023,1
3931,1020,1023,1
3967,1019,1023,1
3999,1023,1023,1
4034,1023,1023,1
4067,1020,1023,1
4099,1019,1023,1
4131,1023,1023,1
4166,1023,1023,1
4200,1023,1023,1
4232,1019,1023,1
4268,1017,1023,1
4299,1023,1023,1
4331,1023,1022,1
4366,1017,1023,1
4400,1023,1023,1
4433,1023,1023,1
4467,1019,1023,1
4500,1023,1023,1
4532,1023,1022,2
4566,1023,1023,2
4598,1023,1023,2
4632,1023,1023,2
4667,1023,1023,2
4703,1022,1023,2
4732,1018,1022,2
4767,1020,1023,2
4799,1023,1023,2
4833,1021,1023,2
4866,1021,1023,2
4900,1023,1021,2
4932,1023,1022,2
4965,1019,1022,2
4999,1023,1023,2
5060,1023,1021,2
5086,1022,1022,2
5100,1022,1023,2
5133,1023,1023,2
5167,1021,1023,2
5199,1020,1023,2
5232,1016,740,2
5266,1023,454,2
5299,1023,319,2
5333,1022,193,2
5366,1008,144,2
5399,1012,111,2
5432,1022,84,2
5466,1023,78,2
5499,1020,80,2
5533,1007,75,2
5593,1012,76,2
5602,1023,75,2
5632,1016,77,2
5666,1023,77,2
5699,1016,79,2
5733,1023,79,2
5767,1010,80,2
5798,1015,83,2
5833,1014,84,2
5866,1018,87,2
5898,1023,90,2
5932,1023,90,2
5966,1020,92,2
6000,1017,93,2
6032,1011,95,2
6066,1019,96,2
6098,1023,96,2
6132,1016,97,2
6165,1023,98,2
6198,1012,99,2
6233,1011,100,2
6266,1018,101,2
6298,1012,104,2
6331,1023,110,2
6365,1020,108,2
6401,1014,109,2
6434,1013,114,2
6465,1023,120,2
6498,1023,124,2
6532,1017,148,2
6565,1019,352,2
6600,1023,1023,2
6634,1022,1023,2
6666,1023,1023,2
6703,1023,1022,2
6731,1023,1023,2
6765,1021,1023,2
6816,1023,1023,2
6832,1019,1023,2
6867,1022,1023,2
6900,1023,1023,2
6932,1023,1023,2
6965,1022,1023,2
6999,1019,1023,2
7032,1022,1023,2
7066,1023,1023,2
7101,1023,1018,2
