Time_Stamp,Flex,Force,TrimmingId
0,333,1023,0
32,332,1022,0
65,329,1023,0
100,328,1023,0
132,332,1023,0
167,328,1023,0
198,328,1023,0
231,329,1023,0
264,333,1019,0
300,320,1023,0
331,317,1022,0
366,316,1020,0
400,305,1022,0
430,309,1023,0
464,319,1023,0
499,336,1023,0
531,346,1023,0
565,360,1023,0
602,375,1023,0
631,398,1021,0
664,411,1023,0
700,429,1023,0
730,443,1023,0
765,451,1023,0
800,450,1022,0
845,453,1021,0
863,457,1023,0
900,466,1023,0
930,457,1021,0
965,455,1020,0
1000,458,1023,0
1032,460,1023,0
1063,456,1021,0
1100,452,1020,0
1130,453,1023,0
1164,457,1023,0
1198,458,1023,0
1233,448,1021,0
1263,447,1020,0
1298,447,1022,0
1330,451,1023,0
1365,447,1023,0
1398,448,1020,0
1435,443,1017,0
1464,443,1023,0
1498,448,1023,0
1534,445,1023,0
1565,441,1020,0
1598,440,1023,0
1633,431,1023,0
1666,408,1023,0
1699,374,1023,0
1734,343,1023,1
1766,336,1023,1
1798,324,1023,1
1833,322,1023,1
1867,320,1022,1
1901,317,1023,1
1934,323,1023,1
1967,323,1023,1
2000,327,1021,1
2031,331,1021,1
2066,337,1023,1
2100,336,1023,1
2132,339,1022,1
2164,338,1022,1
2198,340,1023,1
2231,341,1023,1
2264,342,1022,1
2301,338,1022,1
2335,341,1023,1
2365,339,1023,1
2399,341,1022,1
2431,339,1023,1
2465,341,1023,1
2498,342,1023,1
2532,344,1023,1
2565,340,1023,1
2598,340,1023,1
2630,339,1023,1
2666,340,1023,1
2698,344,1022,1
2732,339,1023,1
2766,338,1023,1
2827,339,1018,1
2835,336,1023,1
2864,333,1022,1
2897,326,1022,1
2932,321,1023,1
2965,316,1023,1
2998,312,1023,1
3031,318,1023,1
3065,333,1023,1
3098,350,1023,1
3133,367,1022,1
3167,390,1023,1
3199,410,1023,1
3232,435,1023,1
3263,435,1023,1
3298,443,1023,1
3331,454,1018,1
3365,453,1023,1
3400,453,1023,1
3432,455,1023,1
3463,458,1023,1
3498,461,1023,1
3530,460,1023,1
3564,455,1022,1
3600,450,1022,1
3631,454,1022,1
3663,449,1020,1
3698,453,1023,1
3730,452,1023,1
3764,451,1020,1
3799,447,1018,1
3832,447,1023,1
3864,445,1023,1
3898,445,1023,1
3931,445,1020,1
3964,444,1019,1
3998,446,1023,1
4032,445,1023,1
4064,439,1023,1
4098,433,1021,1
4130,425,1021,2
4163,408,1023,2
4198,382,1023,2
4231,355,1023,2
4265,343,1023,2
4298,338,1023,2
4330,330,1019,2
4363,326,1023,2
4398,325,1023,2
4431,326,1022,2
4465,330,1023,2
4498,332,1023,2
4532,331,1022,2
4569,333,1023,2
4598,337,1023,2
4630,336,1023,2
4665,332,1023,2
4702,334,1023,2
4731,335,1023,2
4765,336,1023,2
4797,335,1021,2
4831,334,1022,2
4864,335,1023,2
4902,336,1023,2
4931,335,1023,2
4964,334,1022,2
4999,334,1023,2
5030,335,1023,2
5064,336,1023,2
5099,334,1023,2
5132,331,1021,2
5164,332,1023,2
5200,341,1023,2
5230,331,1022,2
5264,332,1023,2
5297,332,1023,2
5331,337,1023,2
5379,331,1023,2
5398,333,1022,2
5430,333,1023,2
5463,340,1023,2
5498,333,1023,2
5533,329,1022,2
5566,333,1023,2
5598,334,1023,2
5631,332,1023,2
5664,331,1023,2
5697,333,1023,2
5731,340,1023,2
5766,331,1023,2
5799,332,1023,2
5830,335,1023,2
5864,337,1022,2
5899,331,1021,2
5931,333,1022,2
5966,335,1022,2
6000,335,1023,2
6031,335,1023,2
6064,331,1023,2
6098,330,1023,2
6131,334,1023,2
6164,330,1023,2
6202,333,1023,2
6232,330,1022,2
6264,332,1023,2
6299,332,1023,2
6331,336,1022,2
6364,329,1023,2
6399,329,1023,2
6434,330,1023,2
6463,341,1023,2
6500,331,1023,2
6531,332,1023,2
6564,333,1023,2
6600,330,1022,2
6634,330,1023,2
6665,334,1018,2
6699,331,1023,2
6732,330,1023,2
6765,329,1023,2
6798,332,1023,2
6835,333,1023,2
6865,329,1023,2
