Time_Stamp,Flex,Force,TrimmingId
0,1020,1023,0
35,1023,1023,0
72,1023,1022,0
102,1023,1023,0
138,1020,1023,0
169,1021,1023,0
199,1023,1023,0
234,1023,1023,0
268,1023,1023,0
301,1022,1023,0
335,1023,1023,0
369,1023,1023,0
399,1020,1023,0
435,1023,1023,0
467,1023,1023,0
502,1023,1023,0
535,1022,1023,0
566,1021,1022,0
599,1023,1023,0
634,1023,1023,0
666,1020,1023,0
700,1022,1023,0
736,1023,1023,0
766,1023,1023,0
799,1021,1023,0
843,1022,1023,0
875,1023,1023,0
900,1022,1023,0
935,1023,1022,0
966,1023,1023,0
999,1023,1023,0
1035,1022,1022,0
1067,1022,1023,0
1100,1023,1023,0
1136,1023,1022,0
1167,1021,1023,0
1198,1023,1023,0
1233,1023,1023,0
1271,1023,1022,0
1299,1023,1023,0
1333,1022,1023,0
1368,1023,1023,0
1401,1023,1023,0
1434,1020,1022,0
1468,1022,1023,0
1500,1023,1022,0
1535,1023,1023,0
1567,1023,1023,0
1602,1021,1023,0
1635,1022,1023,0
1667,1023,1023,0
1702,1023,1021,1
1733,1023,1023,1
1767,1023,1021,1
1803,1023,1023,1
1836,1021,1022,1
1883,1021,1023,1
1900,1023,1023,1
1934,1023,1023,1
1967,1021,1022,1
2001,1018,1023,1
2036,1023,1023,1
2068,1023,1023,1
2099,1022,1021,1
2134,1022,1023,1
2166,1023,1023,1
2240,1023,1022,1
2268,1021,1023,1
2299,1023,1023,1
2334,1023,1023,1
2366,1023,1023,1
2399,1022,1022,1
2435,1023,1023,1
2466,1023,1021,1
2500,1023,1023,1
2533,1019,1023,1
2565,1023,1023,1
2600,1023,1023,1
2635,1020,1023,1
2668,1023,1023,1
2700,1023,1023,1
2734,1020,1023,1
2766,1022,1023,1
2799,351,1023,1
2834,1023,1023,1
2868,350,1023,1
2902,349,1023,1
2933,349,1022,1
2966,351,1022,1
3000,350,1023,1
3033,351,1023,1
3067,350,1022,1
3101,348,1023,1
3148,350,1023,1
3167,350,1021,1
3230,351,1023,1
3239,348,1023,1
3266,349,1023,1
3303,350,1023,1
3335,350,1023,1
3367,352,1023,1
3400,349,1022,1
3433,348,1022,1
3466,348,1023,1
3500,349,1020,1
3535,350,1023,1
3567,348,1023,1
3600,349,1023,1
3634,348,1022,2
3667,349,1023,2
3700,350,1023,2
3734,348,1023,2
3768,349,1023,2
3801,348,1022,2
3833,350,1023,2
3867,351,1023,2
3899,348,1023,2
3933,348,1023,2
3969,347,1023,2
4000,347,1023,2
4034,348,1023,2
4066,348,1021,2
4101,346,1022,2
4134,347,1022,2
4167,347,1022,2
4203,347,1023,2
4233,348,1023,2
4267,349,1023,2
4299,348,1023,2
4333,347,1023,2
4367,352,1023,2
4407,1023,1023,2
4434,1022,1022,2
4467,1020,1022,2
4500,1023,1023,2
4532,1023,1023,2
4567,1021,1023,2
4601,1021,1017,2
4634,1021,1023,2
4668,1019,1023,2
4698,1023,1023,2
4733,1023,1023,2
4767,1021,1023,2
4800,1023,1023,2
4835,1023,1022,2
4867,1020,1023,2
4900,1020,1022,2
4933,1023,1021,2
4967,1023,1023,2
4999,1023,1023,2
5035,1020,1023,2
5072,1023,1023,2
5099,1023,1023,2
5133,1021,1022,2
5167,1021,1023,2
5200,1023,1023,2
5234,1023,1023,2
5271,1021,1023,2
5299,1020,1023,2
5333,1023,1023,2
5367,1023,1023,2
5399,1023,1020,2
5434,1023,1022,2
5468,1022,1023,2
5498,1023,1023,2
5532,1023,1023,2
5566,1023,1022,2
5599,1020,1023,2
5633,1023,1023,2
